,points-race1,position-race1,points-race2,position-race2,points-race3,position-race3,total
Atomic Chibi,50,1,40,2,32,4,122
Lego Car,40,2,36,3,30,5,106
RU Greasy,36,3,26,7,40,2,102
The Bus,32,4,24,8,36,3,92
Amazon Box,30,5,50,1,6,17,86
Blue Meanie,28,6,32,4,22,9,82
Electric Koolaid Acid Test,26,7,30,5,20,10,76
MAV 721,24,8,28,6,24,8,76
Smoothie,22,9,22,9,12,14,56
Maximum Overdrive,20,10,20,10,10,15,50
FUBAR,18,11,14,13,50,1,82
Aerobot,16,12,12,14,28,6,56
Train Wrecks,14,13,6,17,26,7,46
Go Shopping Kart,12,14,10,15,4,18,26
LIVFREE,10,15,8,16,18,11,36
Lightning McQueen,8,16,4,18,16,12,28
ITSABert,6,17,18,11,14,13,38
The Chariot,4,18,16,12,8,16,28
